Titel,Geschäftsart,ID,Datum,Erstunterzeichner,Partei Erstunterzeichner,Mitunterzeichner,Partei Mitunterzeichner,Geschäftsstatus,Entscheid,_entscheidbereinigt
"Absage des Konzerts von Mario Parizek im GLEIS, Haltung des Stadtrats zur Absage, Beurteilung der Wirkung mit Bezug auf den real existierenden Rassismus, Bedingungen für die Unterstützungsleistungen der Stadt sowie mögliche Konsequenzen für das GLEIS betreffend die künftigen Subventionsleistungen",Schriftliche Anfrage,4e0f2a517ef34cd1868e87a0c5d614ab,2022-08-24T00:00:00.000,Yasmine Bourgeois,FDP,Përparim Avdili,FDP,Abgeschlossen,,
"ewz, Benchmark-Vergleiche auf den Rechnungen und den persönlichen Online-Zugängen",Postulat,2096d78e7588431099ef7dc7714901be,2022-08-31T00:00:00.000,Ivo Bieri,SP,Hans Dellenbach,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Flexibler Altersrücktritt für das städtische Personal, Ausgleich der jährlichen Mehrkosten",Postulat,264b75bd6a02455f8ee3cad9f2160470,2022-08-31T00:00:00.000,Martin Götzl,SVP,Isabel Garcia,FDP,Abgeschlossen,Ablehnung,Ablehnung
"Abbau von Parkplätzen im Rahmen der Umsetzung einer Velovorzugsroute in Schwamendingen, geprüfte Varianten zur lokalen Kompensation des Abbaus sowie Einfluss auf das lokale Gewerbe und die Anwohnenden",Schriftliche Anfrage,a2248eb61a494e3fa455112378a414a4,2022-08-31T00:00:00.000,Frank Rühli,FDP,Roger Föhn,EVP,Abgeschlossen,,
"Medizinische Qualitätskriterien der Kaderärztinnen- und Kaderärzteverordnung (KAV), Ergänzung durch griffigeres Instrument",Postulat,8a498fbdd6ce4a50b202ce90f602e017,2022-09-07T00:00:00.000,Tanja Maag Sturzenegger,AL,Elisabeth Schoch,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Ausrückordnung der Feuerwehr in Zürich-Nord bei einem Brand eines Mehrfamilienhauses, Gründe für das Aufbieten der Berufsfeuerwehr des Flughafens anstelle der Milizfeuerwehr",Schriftliche Anfrage,3be2f1fe6a384b5e8a18e76d0b11bbf7,2022-09-07T00:00:00.000,Christian Huser,FDP,Martin Götzl,SVP,Abgeschlossen,,
Finanzielle Unterstützung des «incluso-LERNstudio*»,Postulat,2e613aef2b8b41cbb347d4b0d2178b50,2022-09-07T00:00:00.000,Patrik Brunner,FDP,Anna-Béatrice Schmaltz,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
Erhebung der durchschnittlichen Absenzen der betreuten Klientinnen und Klienten in den Berufsfachschulen sowie Aufnahme als Kennzahl in den Leistungsnachweisen,Postulat,8a5a28b5fa944eefb44afb2b00f1f193,2022-09-07T00:00:00.000,Patrik Brunner,FDP,Anna-Béatrice Schmaltz,Grüne,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Vertragspartnerinnen und Vertragspartner für die Arbeitsintegrationsangebote, Schutzkonzepte zur Verhinderung von sexueller und wirtschaftlicher Ausbeutung",Postulat,34acd6584a9d49898aa915e0df48b6de,2022-09-07T00:00:00.000,Anna-Béatrice Schmaltz,Grüne,Patrik Brunner,FDP,InBearbeitung,"Überweisung, Frist 24 Monate",Überweisung
"Volksinitiative «Seerestaurant», transparente Abklärung der zentralen Elemente der Initiative im Rahmen einer Standortevaluation",Postulat,7c96b8cd29324d9a8fb0f963d7953749,2022-09-07T00:00:00.000,Roger Suter,FDP,Claudia Rabelbauer,EVP,Abgeschlossen,Ablehnung,Ablehnung
